EMPLOYEE_CODE,SUMMARY_DATE,SALARY,PAY_INCREASE,BONUS,VACATION_DAYS_TAKEN,SICK_DAYS_TAKEN
10269,2020-02-04 00:00:00.0,33000.00,0.0,0.0,0.0,2.0
10269,2020-03-04 00:00:00.0,33000.00,0.0,0.0,0.0,0.0
10269,2020-04-04 00:00:00.0,33000.00,0.0,0.0,0.0,0.0
10269,2020-05-04 00:00:00.0,33000.00,0.0,0.0,0.0,0.0
10269,2020-06-04 00:00:00.0,33000.00,0.0,0.0,0.0,0.0
10269,2020-07-04 00:00:00.0,33000.00,0.0,0.0,8.0,0.0
10270,2018-04-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2018-05-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.5
10270,2018-06-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2018-07-13 00:00:00.0,27500.00,0.0,0.0,0.0,1.0
10270,2018-08-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2018-09-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2018-10-13 00:00:00.0,27500.00,0.0,0.0,0.0,2.5
10270,2018-11-13 00:00:00.0,27500.00,0.0,0.0,0.0,2.0
10270,2018-12-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2019-01-13 00:00:00.0,27500.00,0.0,0.0,0.0,4.0
10270,2019-02-13 00:00:00.0,27500.00,0.0,0.0,0.0,0.0
10270,2019-03-13 00:00:00.0,27500.00,0.0,0.0,2.0,1.5
10270,2019-04-13 00:00:00.0,30000.00,0.0909,0.0,0.0,0.0
10270,2019-05-13 00:00:00.0,30000.00,0.0,0.0,0.0,0.5
10270,2019-06-13 00:00:00.0,30000.00,0.0,0.06,3.0,0.0
10270,2019-07-13 00:00:00.0,30000.00,0.0,0.0,0.0,0.5
10270,2019-08-13 00:00:00.0,30000.00,0.0,0.0,0.0,2.0
10270,2019-09-13 00:00:00.0,30000.00,0.0,0.0,0.0,0.0
10270,2019-10-13 00:00:00.0,30000.00,0.0,0.0,0.0,2.0
10270,2019-11-13 00:00:00.0,30000.00,0.0,0.0,10.0,0.0
10270,2019-12-13 00:00:00.0,30000.00,0.0,0.0,3.0,0.0
10270,2020-01-13 00:00:00.0,30000.00,0.0,0.0,0.0,0.0
10270,2020-02-13 00:00:00.0,30000.00,0.0,0.0,0.0,0.0
10270,2020-03-13 00:00:00.0,30000.00,0.0,0.0,4.0,3.0
10270,2020-04-13 00:00:00.0,32500.00,0.0833,0.0,0.0,0.0
10270,2020-05-13 00:00:00.0,32500.00,0.0,0.0,0.0,0.5
10270,2020-06-13 00:00:00.0,32500.00,0.0,0.06,0.0,0.0
10270,2020-07-13 00:00:00.0,32500.00,0.0,0.0,0.0,1.5
10271,2017-01-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-02-20 00:00:00.0,49500.00,0.0,0.0,0.0,2.0
10271,2017-03-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-04-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-05-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-06-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-07-20 00:00:00.0,49500.00,0.0,0.0,0.0,2.5
10271,2017-08-20 00:00:00.0,49500.00,0.0,0.0,0.0,4.0
10271,2017-09-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-10-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-11-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2017-12-20 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10271,2018-01-20 00:00:00.0,52230.77,0.0552,0.0,0.0,2.0
10271,2018-02-20 00:00:00.0,52230.77,0.0,0.0,2.0,1.5
10271,2018-03-20 00:00:00.0,52230.77,0.0,0.0,0.0,0.0
10271,2018-04-20 00:00:00.0,52230.77,0.0,0.0,1.0,0.0
10271,2018-05-20 00:00:00.0,52230.77,0.0,0.0,1.0,2.0
10271,2018-06-20 00:00:00.0,52230.77,0.0,0.0,1.0,0.0
10271,2018-07-20 00:00:00.0,52230.77,0.0,0.0,5.0,0.0
10271,2018-08-20 00:00:00.0,52230.77,0.0,0.0,0.0,0.0
10271,2018-09-20 00:00:00.0,52230.77,0.0,0.0,14.0,1.0
10271,2018-10-20 00:00:00.0,52230.77,0.0,0.0,0.0,0.0
10271,2018-11-20 00:00:00.0,52230.77,0.0,0.0,0.0,0.0
10271,2018-12-20 00:00:00.0,52230.77,0.0,0.0,0.0,0.0
10271,2019-01-20 00:00:00.0,54961.54,0.0523,0.0,0.0,2.0
10271,2019-02-20 00:00:00.0,54961.54,0.0,0.0,4.0,2.0
10271,2019-03-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2019-04-20 00:00:00.0,54961.54,0.0,0.0,1.0,0.0
10271,2019-05-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2019-06-20 00:00:00.0,54961.54,0.0,0.0,2.0,0.0
10271,2019-07-20 00:00:00.0,54961.54,0.0,0.0,15.0,2.0
10271,2019-08-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2019-09-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2019-10-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2019-11-20 00:00:00.0,54961.54,0.0,0.0,1.0,0.0
10271,2019-12-20 00:00:00.0,54961.54,0.0,0.0,0.0,0.0
10271,2020-01-20 00:00:00.0,57692.31,0.0497,0.0,0.0,1.5
10271,2020-02-20 00:00:00.0,57692.31,0.0,0.0,15.0,2.0
10271,2020-03-20 00:00:00.0,57692.31,0.0,0.0,0.0,0.0
10271,2020-04-20 00:00:00.0,57692.31,0.0,0.0,0.0,2.5
10271,2020-05-20 00:00:00.0,57692.31,0.0,0.0,3.0,0.0
10271,2020-06-20 00:00:00.0,57692.31,0.0,0.0,1.0,0.0
10271,2020-07-20 00:00:00.0,57692.31,0.0,0.0,1.0,0.0
10272,2017-01-22 00:00:00.0,49500.00,0.0,0.0,0.0,4.0
10272,2017-02-22 00:00:00.0,49500.00,0.0,0.0,0.0,0.0
10272,2017-03-22 00:00:00.0,49500.00,0.0,0.0,2.0,1.5
10272,2017-04-22 00:00:00.0,52230.77,0.0552,0.0,0.0,0.0
10272,2017-05-22 00:00:00.0,52230.77,0.0,0.0,0.0,0.5
10272,2017-06-22 00:00:00.0,52230.77,0.0,0.0,3.0,0.0
